airport_id,icao,iata,faa_lid,airport_name,latitude,longitude,elevation_ft,airport_type,runway_count,longest_runway_ft,state,country
SAMPLE01,KE01,E01,SAMPLE01,Sample Regional Airport 01 (SYNTHETIC),42.3833,-100.25047,2146.5,medium_airport,1,4300,SS,US-SAMPLE
SAMPLE02,KE02,E02,SAMPLE02,Sample Municipal Airport 02 (SYNTHETIC),45.60996,-85.74871,1965.2,large_airport,3,7328,SS,US-SAMPLE
SAMPLE03,KE03,E03,SAMPLE03,Sample Regional Airport 03 (SYNTHETIC),35.93277,-78.29558,1609.7,small_airport,2,7269,SS,US-SAMPLE
SAMPLE04,KE04,E04,SAMPLE04,Sample Municipal Airport 04 (SYNTHETIC),33.63582,-95.04368,159.5,small_airport,1,8869,SS,US-SAMPLE
SAMPLE05,KE05,E05,SAMPLE05,Sample Regional Airport 05 (SYNTHETIC),42.1294,-104.04633,2426.7,small_airport,3,10116,SS,US-SAMPLE
SAMPLE06,KE06,E06,SAMPLE06,Sample Municipal Airport 06 (SYNTHETIC),33.11422,-98.99755,109.5,large_airport,3,9305,SS,US-SAMPLE
SAMPLE07,KE07,E07,SAMPLE07,Sample Regional Airport 07 (SYNTHETIC),41.91619,-76.46206,814.6,medium_airport,1,7491,SS,US-SAMPLE
SAMPLE08,KE08,E08,SAMPLE08,Sample Municipal Airport 08 (SYNTHETIC),33.03154,-114.15353,1189.3,medium_airport,2,9193,SS,US-SAMPLE
SAMPLE09,KE09,E09,SAMPLE09,Sample Regional Airport 09 (SYNTHETIC),36.99443,-82.52948,1750.7,medium_airport,3,10574,SS,US-SAMPLE
SAMPLE10,KE10,E10,SAMPLE10,Sample Municipal Airport 10 (SYNTHETIC),42.87623,-102.56347,720.8,medium_airport,2,4687,SS,US-SAMPLE
SAMPLE11,KE11,E11,SAMPLE11,Sample Regional Airport 11 (SYNTHETIC),33.19853,-119.6687,1967.3,medium_airport,2,9493,SS,US-SAMPLE
SAMPLE12,KE12,E12,SAMPLE12,Sample Municipal Airport 12 (SYNTHETIC),42.49166,-99.34879,1421.9,large_airport,1,4473,SS,US-SAMPLE
SAMPLE13,KE13,E13,SAMPLE13,Sample Regional Airport 13 (SYNTHETIC),40.69445,-98.80067,1413.1,small_airport,2,8895,SS,US-SAMPLE
SAMPLE14,KE14,E14,SAMPLE14,Sample Municipal Airport 14 (SYNTHETIC),38.85727,-94.83568,759.9,large_airport,2,7212,SS,US-SAMPLE
SAMPLE15,KE15,E15,SAMPLE15,Sample Regional Airport 15 (SYNTHETIC),33.43335,-101.61621,2133.5,medium_airport,3,3995,SS,US-SAMPLE
SAMPLE16,EE16,E16,,Sample Municipal Airport 16 (SYNTHETIC),49.22076,2.33984,1654.8,medium_airport,2,10163,,EU-SAMPLE
SAMPLE17,EE17,E17,,Sample Regional Airport 17 (SYNTHETIC),54.9647,5.15967,2035.1,large_airport,2,3693,,EU-SAMPLE
SAMPLE18,EE18,E18,,Sample Municipal Airport 18 (SYNTHETIC),46.35072,13.05898,1154.7,large_airport,3,7758,,EU-SAMPLE
SAMPLE19,EE19,E19,,Sample Regional Airport 19 (SYNTHETIC),47.28468,12.40801,1115.4,medium_airport,1,6062,,EU-SAMPLE
SAMPLE20,EE20,E20,,Sample Municipal Airport 20 (SYNTHETIC),54.45424,4.04532,219.1,large_airport,2,11676,,EU-SAMPLE
SAMPLE21,EE21,E21,,Sample Regional Airport 21 (SYNTHETIC),58.62871,12.49268,664.7,small_airport,1,10119,,EU-SAMPLE
SAMPLE22,EE22,E22,,Sample Municipal Airport 22 (SYNTHETIC),55.75335,6.23404,680.6,large_airport,2,11172,,EU-SAMPLE
SAMPLE23,EE23,E23,,Sample Regional Airport 23 (SYNTHETIC),51.83664,0.05908,764.9,medium_airport,2,5002,,EU-SAMPLE
SAMPLE24,EE24,E24,,Sample Municipal Airport 24 (SYNTHETIC),57.84921,13.96299,1798.7,medium_airport,1,8832,,EU-SAMPLE
SAMPLE25,EE25,E25,,Sample Regional Airport 25 (SYNTHETIC),53.76147,11.24617,211.1,medium_airport,3,3853,,EU-SAMPLE
