INDEX_NR,INCIDENT_DATE,TIME,AIRPORT_ID,AIRPORT,STATE,LATITUDE,LONGITUDE,PHASE_OF_FLIGHT,HEIGHT,SPEED,AC_MAKE,AC_MODEL,AC_CLASS,AC_MASS,ENG_TYPE,NUM_ENGS,SKY,PRECIPITATION,SPECIES,SPECIES_ID,SIZE,NUM_SEEN,NUM_STRUCK,DAMAGE_IND,DAM_LEVEL,EFFECT,STR_PARTS,DAM_PARTS,COST_REPAIRS,COST_OTHER,NR_INJURIES,NR_FATALITIES,REMARKS,data_origin,operational_use
SAMPLE-00001,2019-03-19,17:41,SAMPLE17,Sample Regional Airport 17 (SYNTHETIC),,55.00467194479534,5.15082488218296,Approach,151.0,83.0,Bombardier,Model-840,Airplane,2,Turbofan,2,Overcast,None,Great Cormorant,Phalacrocorax carbo,Small,2-10,2-10,Y,M,Other,Windshield,Engine,237.24,1199.09,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00002,2018-11-03,14:40,SAMPLE15,Sample Regional Airport 15 (SYNTHETIC),SS,33.4550507101139,-101.59998832849048,Climb,194.0,109.0,Cessna,Model-329,Airplane,5,Turbojet,2,No Cloud,None,Grey Heron,Ardea cinerea,Large,Over 100,Over 100,Y,M,None,Nose,,9767.54,1232.97,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00003,2023-09-16,14:25,SAMPLE07,Sample Regional Airport 07 (SYNTHETIC),SS,41.93591348087822,-76.44406234627112,En Route,454.0,199.0,Boeing,Model-206,Airplane,5,Turbofan,2,Overcast,Rain,Bald Eagle,Haliaeetus leucocephalus,Small,1,1,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00004,2021-09-20,22:14,SAMPLE24,Sample Municipal Airport 24 (SYNTHETIC),,57.82951244414527,13.97368981990168,Climb,132.0,152.0,Bombardier,Model-476,Airplane,3,Turboprop,2,Overcast,Rain,Common Buzzard,Buteo buteo,Medium,1,1,Y,S,None,Fuselage,Wing,2904.83,614.52,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00005,2024-10-29,18:58,SAMPLE24,Sample Municipal Airport 24 (SYNTHETIC),,57.81322371285295,13.974169981821266,Approach,45.0,96.0,Boeing,Model-787,Airplane,2,Turbojet,2,Overcast,None,Eurasian Sparrowhawk,Accipiter nisus,Medium,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00006,2024-03-05,00:40,SAMPLE19,Sample Regional Airport 19 (SYNTHETIC),,47.23849745496256,12.434410859462686,Descent,1314.0,139.0,Airbus,Model-793,Airplane,4,Turboprop,2,Overcast,None,Herring Gull,Larus argentatus,Medium,2-10,2-10,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00007,2018-01-17,12:03,SAMPLE08,Sample Municipal Airport 08 (SYNTHETIC),SS,33.046138988443836,-114.15968021939493,Approach,820.0,98.0,Cessna,Model-632,Airplane,5,Turbojet,2,Overcast,None,Great Black-backed Gull,Larus marinus,Small,2-10,2-10,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00008,2018-06-09,08:51,SAMPLE24,Sample Municipal Airport 24 (SYNTHETIC),,57.82725592093126,13.981090627445989,Landing Roll,164.0,202.0,Embraer,Model-890,Airplane,2,Turbojet,2,No Cloud,None,Black-headed Gull,Chroicocephalus ridibundus,Small,2-10,2-10,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00009,2022-02-10,03:09,SAMPLE15,Sample Regional Airport 15 (SYNTHETIC),SS,33.434253159908984,-101.59153639363932,Take-off run,1055.0,171.0,Embraer,Model-720,Airplane,4,Turbofan,2,Overcast,None,American Crow,Corvus brachyrhynchos,Small,2-10,2-10,N/A,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00010,2023-01-07,03:52,SAMPLE09,Sample Regional Airport 09 (SYNTHETIC),SS,37.00711550112791,-82.52182912480676,Descent,309.0,212.0,Boeing,Model-710,Airplane,1,Turboprop,2,Some Cloud,None,Common Raven,Corvus corax,Large,1,1,UNK,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00011,2019-06-22,02:44,SAMPLE15,Sample Regional Airport 15 (SYNTHETIC),SS,33.43345351245406,-101.61504054641472,Approach,711.0,98.0,Bombardier,Model-393,Airplane,3,Turboprop,2,Some Cloud,None,Greylag Goose,Anser anser,Medium,1,1,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00012,2020-09-10,05:59,SAMPLE19,Sample Regional Airport 19 (SYNTHETIC),,47.28204432184846,12.429006385694539,Landing Roll,1689.0,113.0,Boeing,Model-806,Airplane,3,Turbofan,2,Some Cloud,None,Great Blue Heron,Ardea herodias,Medium,1,1,Y,S,None,Nose,Engine,989.98,5223.96,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00013,2022-01-26,09:54,SAMPLE13,Sample Regional Airport 13 (SYNTHETIC),SS,40.71878115938131,-98.83160128306129,Take-off run,1056.0,158.0,Bombardier,Model-327,Airplane,5,Turbofan,2,No Cloud,None,Great Cormorant,Phalacrocorax carbo,Medium,1,1,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00014,2019-01-24,17:25,SAMPLE23,Sample Regional Airport 23 (SYNTHETIC),,51.81565876891116,0.06896078140431622,Take-off run,4042.0,97.0,Cessna,Model-783,Airplane,3,Turboprop,2,Overcast,None,Canada Goose,Branta canadensis,Small,1,1,Y,M,Precautionary Landing,Engine,,7278.12,1158.03,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00015,2024-04-29,17:22,SAMPLE18,Sample Municipal Airport 18 (SYNTHETIC),,46.32235868607756,13.061620695537698,Approach,212.0,196.0,Cessna,Model-819,Airplane,4,Turbojet,2,No Cloud,None,Greylag Goose,Anser anser,Small,1,1,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00016,2018-02-20,07:33,SAMPLE24,Sample Municipal Airport 24 (SYNTHETIC),,57.84605022567491,13.953348482322145,Approach,600.0,240.0,Cessna,Model-218,Airplane,4,Turbojet,2,No Cloud,None,Eurasian Sparrowhawk,Accipiter nisus,Small,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00017,2020-07-08,10:32,SAMPLE21,Sample Regional Airport 21 (SYNTHETIC),,58.61512249710262,12.481758351539996,Approach,1381.0,195.0,Bombardier,Model-256,Airplane,3,Turboprop,4,No Cloud,Rain,Common Raven,Corvus corax,Small,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00018,2022-12-30,10:03,SAMPLE10,Sample Municipal Airport 10 (SYNTHETIC),SS,42.86620988375946,-102.56091740838585,Take-off run,971.0,85.0,Bombardier,Model-774,Airplane,3,Turbofan,2,Some Cloud,Snow,Mute Swan,Cygnus olor,Large,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00019,2022-06-27,19:11,SAMPLE20,Sample Municipal Airport 20 (SYNTHETIC),,54.43365820705632,4.02463868531036,Approach,34.0,176.0,Airbus,Model-838,Airplane,1,Turboprop,2,Some Cloud,None,American Crow,Corvus brachyrhynchos,Small,2-10,2-10,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00020,2020-01-01,22:57,SAMPLE23,Sample Regional Airport 23 (SYNTHETIC),,51.800407620369555,0.09010904858687128,Approach,1518.0,198.0,Embraer,Model-127,Airplane,3,Turboprop,4,Overcast,None,Mute Swan,Cygnus olor,Small,11-100,11-100,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00021,2018-03-05,15:25,SAMPLE12,Sample Municipal Airport 12 (SYNTHETIC),SS,42.489727927418066,-99.33559497271553,Take-off run,1513.0,155.0,Airbus,Model-393,Airplane,5,Turbofan,2,No Cloud,Fog,American Crow,Corvus brachyrhynchos,Medium,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00022,2021-03-01,00:45,SAMPLE12,Sample Municipal Airport 12 (SYNTHETIC),SS,42.522666867229844,-99.35908991532176,Descent,972.0,205.0,Bombardier,Model-436,Airplane,4,Turbofan,2,No Cloud,None,Greylag Goose,Anser anser,Large,1,1,Y,M,Precautionary Landing,Fuselage,Windshield,1296.53,751.07,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00023,2018-04-15,23:22,SAMPLE04,Sample Municipal Airport 04 (SYNTHETIC),SS,33.63251519103133,-95.09014482516018,Descent,71.0,218.0,Cessna,Model-576,Airplane,1,Turbojet,2,Some Cloud,Rain,Great Blue Heron,Ardea herodias,Small,1,1,Y,M,Other,Engine,,5012.03,3934.66,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00024,2018-07-28,22:32,SAMPLE09,Sample Regional Airport 09 (SYNTHETIC),SS,37.005524076097814,-82.54932064442842,Descent,194.0,146.0,Airbus,Model-146,Airplane,3,Turbojet,2,Overcast,None,Barn Swallow,Hirundo rustica,Small,2-10,2-10,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00025,2021-07-12,03:32,SAMPLE02,Sample Municipal Airport 02 (SYNTHETIC),SS,45.57666590821006,-85.74618675485928,Descent,458.0,236.0,Bombardier,Model-747,Airplane,3,Turbofan,2,Overcast,None,Herring Gull,Larus argentatus,Small,2-10,2-10,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
