count_id,site_id,count_date,start_time_local,end_time_local,observation_hours,species_common_name,species_scientific_name,species_code,count,flight_direction,count_type,weather_notes,observer_effort_available,data_origin,operational_use
CNT000001,TREK001,2023-01-16,07:00,08:15,1.25,Common Buzzard,Buteo buteo,BUTEO_BUTE,2,N,visible_migration,clear,True,synthetic_fixture,False
CNT000002,TREK001,2023-02-01,08:00,13:13,5.22,Common Starling,Sturnus vulgaris,STURNUS_VU,6,NW,visible_migration,overcast,True,synthetic_fixture,False
CNT000003,TREK001,2023-02-08,07:00,10:18,3.31,Great Black-backed Gull,Larus marinus,LARUS_MARI,3,S,visible_migration,overcast,True,synthetic_fixture,False
CNT000004,TREK001,2023-02-08,07:00,10:18,3.31,Grey Heron,Ardea cinerea,ARDEA_CINE,6,SE,visible_migration,light rain,True,synthetic_fixture,False
CNT000005,TREK001,2023-02-08,07:00,10:18,3.31,Black-headed Gull,Chroicocephalus ridibundus,CHROICOCEP,6,S,visible_migration,windy,True,synthetic_fixture,False
CNT000006,TREK001,2023-02-08,07:00,10:18,3.31,Great Cormorant,Phalacrocorax carbo,PHALACROCO,2,S,visible_migration,windy,True,synthetic_fixture,False
CNT000007,TREK001,2023-02-10,07:00,08:41,1.69,Common Starling,Sturnus vulgaris,STURNUS_VU,3,W,visible_migration,light rain,True,synthetic_fixture,False
CNT000008,TREK001,2023-02-10,07:00,08:41,1.69,Rock Pigeon,Columba livia,COLUMBA_LI,6,S,visible_migration,overcast,True,synthetic_fixture,False
CNT000009,TREK001,2023-02-10,07:00,08:41,1.69,Common Kestrel,Falco tinnunculus,FALCO_TINN,1,S,visible_migration,windy,True,synthetic_fixture,False
CNT000010,TREK001,2023-02-10,07:00,08:41,1.69,American Robin,Turdus migratorius,TURDUS_MIG,6,N,visible_migration,windy,True,synthetic_fixture,False
CNT000011,TREK001,2023-02-10,07:00,08:41,1.69,Mute Swan,Cygnus olor,CYGNUS_OLO,1,E,visible_migration,clear,True,synthetic_fixture,False
CNT000012,TREK001,2023-03-26,09:00,11:55,2.92,Common Raven,Corvus corax,CORVUS_COR,13,NE,visible_migration,overcast,True,synthetic_fixture,False
CNT000013,TREK001,2023-04-23,05:00,10:45,5.76,Great Black-backed Gull,Larus marinus,LARUS_MARI,12,N,visible_migration,light rain,True,synthetic_fixture,False
CNT000014,TREK001,2023-04-23,05:00,10:45,5.76,Common Buzzard,Buteo buteo,BUTEO_BUTE,14,N,visible_migration,,True,synthetic_fixture,False
CNT000015,TREK001,2023-04-23,05:00,10:45,5.76,Mallard,Anas platyrhynchos,ANAS_PLATY,9,SE,visible_migration,windy,True,synthetic_fixture,False
CNT000016,TREK001,2023-04-23,05:00,10:45,5.76,American Robin,Turdus migratorius,TURDUS_MIG,9,W,visible_migration,clear,True,synthetic_fixture,False
CNT000017,TREK001,2023-04-24,05:00,09:19,4.33,Great Cormorant,Phalacrocorax carbo,PHALACROCO,12,N,visible_migration,clear,True,synthetic_fixture,False
CNT000018,TREK001,2023-05-01,09:00,14:00,5.01,Great Black-backed Gull,Larus marinus,LARUS_MARI,10,W,visible_migration,light rain,True,synthetic_fixture,False
CNT000019,TREK001,2023-05-01,09:00,14:00,5.01,Herring Gull,Larus argentatus,LARUS_ARGE,7,NE,visible_migration,overcast,True,synthetic_fixture,False
CNT000020,TREK001,2023-05-01,09:00,14:00,5.01,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,8,NW,visible_migration,overcast,True,synthetic_fixture,False
CNT000021,TREK001,2023-05-01,09:00,14:00,5.01,American Robin,Turdus migratorius,TURDUS_MIG,9,NW,visible_migration,,True,synthetic_fixture,False
CNT000022,TREK001,2023-05-08,06:00,09:08,3.14,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,5,NE,visible_migration,overcast,True,synthetic_fixture,False
CNT000023,TREK001,2023-05-08,06:00,09:08,3.14,Grey Heron,Ardea cinerea,ARDEA_CINE,14,SW,visible_migration,light rain,True,synthetic_fixture,False
CNT000024,TREK001,2023-05-08,06:00,09:08,3.14,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,6,N,visible_migration,overcast,True,synthetic_fixture,False
CNT000025,TREK001,2023-05-08,06:00,09:08,3.14,Common Buzzard,Buteo buteo,BUTEO_BUTE,6,SW,visible_migration,clear,True,synthetic_fixture,False
CNT000026,TREK001,2023-05-13,08:00,10:49,2.82,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,7,NW,visible_migration,windy,True,synthetic_fixture,False
CNT000027,TREK001,2023-05-23,06:00,07:49,1.82,Mallard,Anas platyrhynchos,ANAS_PLATY,5,W,visible_migration,windy,True,synthetic_fixture,False
CNT000028,TREK001,2023-05-23,06:00,07:49,1.82,Common Buzzard,Buteo buteo,BUTEO_BUTE,4,SW,visible_migration,overcast,True,synthetic_fixture,False
CNT000029,TREK001,2023-05-23,06:00,07:49,1.82,Common Starling,Sturnus vulgaris,STURNUS_VU,4,W,visible_migration,,True,synthetic_fixture,False
CNT000030,TREK001,2023-05-23,06:00,07:49,1.82,Rock Pigeon,Columba livia,COLUMBA_LI,5,NW,visible_migration,overcast,True,synthetic_fixture,False
CNT000031,TREK001,2023-06-16,06:00,10:50,4.84,Common Buzzard,Buteo buteo,BUTEO_BUTE,5,NW,visible_migration,clear,True,synthetic_fixture,False
CNT000032,TREK001,2023-06-16,06:00,10:50,4.84,Great Cormorant,Phalacrocorax carbo,PHALACROCO,2,SE,visible_migration,overcast,False,synthetic_fixture,False
CNT000033,TREK001,2023-06-16,06:00,10:50,4.84,American Robin,Turdus migratorius,TURDUS_MIG,4,NE,visible_migration,light rain,True,synthetic_fixture,False
CNT000034,TREK001,2023-06-22,06:00,10:10,4.17,American Robin,Turdus migratorius,TURDUS_MIG,6,W,visible_migration,light rain,True,synthetic_fixture,False
CNT000035,TREK001,2023-06-22,06:00,10:10,4.17,Barn Swallow,Hirundo rustica,HIRUNDO_RU,6,N,visible_migration,clear,False,synthetic_fixture,False
CNT000036,TREK001,2023-06-22,06:00,10:10,4.17,Grey Heron,Ardea cinerea,ARDEA_CINE,7,NE,visible_migration,light rain,True,synthetic_fixture,False
CNT000037,TREK001,2023-06-22,06:00,10:10,4.17,Common Raven,Corvus corax,CORVUS_COR,2,N,visible_migration,overcast,False,synthetic_fixture,False
CNT000038,TREK001,2023-07-02,06:00,10:22,4.38,Common Starling,Sturnus vulgaris,STURNUS_VU,4,SW,visible_migration,,True,synthetic_fixture,False
CNT000039,TREK001,2023-07-27,06:00,11:17,5.29,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,0,W,visible_migration,light rain,True,synthetic_fixture,False
CNT000040,TREK001,2023-07-27,06:00,11:17,5.29,Rock Pigeon,Columba livia,COLUMBA_LI,5,SW,visible_migration,light rain,True,synthetic_fixture,False
CNT000041,TREK001,2023-07-27,06:00,11:17,5.29,Canada Goose,Branta canadensis,BRANTA_CAN,3,SW,visible_migration,overcast,True,synthetic_fixture,False
CNT000042,TREK001,2023-08-21,07:00,12:59,5.99,American Crow,Corvus brachyrhynchos,CORVUS_BRA,7,NW,visible_migration,overcast,False,synthetic_fixture,False
CNT000043,TREK001,2023-08-21,07:00,12:59,5.99,Common Kestrel,Falco tinnunculus,FALCO_TINN,9,NE,visible_migration,light rain,True,synthetic_fixture,False
CNT000044,TREK001,2023-08-21,07:00,12:59,5.99,Great Black-backed Gull,Larus marinus,LARUS_MARI,7,E,visible_migration,overcast,True,synthetic_fixture,False
CNT000045,TREK001,2023-08-21,07:00,12:59,5.99,Great Blue Heron,Ardea herodias,ARDEA_HERO,12,W,visible_migration,light rain,True,synthetic_fixture,False
CNT000046,TREK001,2023-08-21,07:00,12:59,5.99,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,4,SW,visible_migration,overcast,True,synthetic_fixture,False
CNT000047,TREK001,2023-10-15,05:00,06:19,1.33,Herring Gull,Larus argentatus,LARUS_ARGE,7,E,visible_migration,clear,True,synthetic_fixture,False
CNT000048,TREK001,2023-10-15,05:00,06:19,1.33,Common Raven,Corvus corax,CORVUS_COR,4,S,visible_migration,windy,True,synthetic_fixture,False
CNT000049,TREK001,2023-10-15,05:00,06:19,1.33,Eurasian Sparrowhawk,Accipiter nisus,ACCIPITER_,8,SE,visible_migration,light rain,True,synthetic_fixture,False
