site_id,site_name,country,latitude,longitude,count_type,timezone,site_active_from,site_active_to,data_origin,operational_use
TREK001,Sample Watch Point 01 (SYNTHETIC),US-SAMPLE,33.5338,-94.82032,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK002,Sample Watch Point 02 (SYNTHETIC),EU-SAMPLE,53.95811,3.52129,nocturnal_flight_call,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK003,Sample Watch Point 03 (SYNTHETIC),EU-SAMPLE,53.08513,12.88785,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK004,Sample Watch Point 04 (SYNTHETIC),EU-SAMPLE,49.68987,2.14848,capture,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK005,Sample Watch Point 05 (SYNTHETIC),US-SAMPLE,32.99295,-119.64806,nocturnal_flight_call,America/New_York,2015-01-01,,synthetic_fixture,False
TREK006,Sample Watch Point 06 (SYNTHETIC),US-SAMPLE,36.48898,-82.83571,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK007,Sample Watch Point 07 (SYNTHETIC),EU-SAMPLE,58.19063,12.38276,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK008,Sample Watch Point 08 (SYNTHETIC),US-SAMPLE,33.86575,-116.06783,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK009,Sample Watch Point 09 (SYNTHETIC),EU-SAMPLE,55.31924,13.38673,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK010,Sample Watch Point 10 (SYNTHETIC),EU-SAMPLE,54.80685,3.60493,capture,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK011,Sample Watch Point 11 (SYNTHETIC),EU-SAMPLE,46.96242,12.54245,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK012,Sample Watch Point 12 (SYNTHETIC),US-SAMPLE,32.52289,-114.37133,nocturnal_flight_call,America/New_York,2015-01-01,,synthetic_fixture,False
TREK013,Sample Watch Point 13 (SYNTHETIC),EU-SAMPLE,46.2462,13.39638,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK014,Sample Watch Point 14 (SYNTHETIC),US-SAMPLE,33.23647,-95.08919,nocturnal_flight_call,America/New_York,2015-01-01,,synthetic_fixture,False
TREK015,Sample Watch Point 15 (SYNTHETIC),EU-SAMPLE,58.64,14.39382,other,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK016,Sample Watch Point 16 (SYNTHETIC),US-SAMPLE,46.40393,-86.66768,nocturnal_flight_call,America/New_York,2015-01-01,,synthetic_fixture,False
TREK017,Sample Watch Point 17 (SYNTHETIC),EU-SAMPLE,48.43928,2.1974,capture,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK018,Sample Watch Point 18 (SYNTHETIC),EU-SAMPLE,51.58507,-0.59751,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK019,Sample Watch Point 19 (SYNTHETIC),EU-SAMPLE,55.61578,9.34996,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK020,Sample Watch Point 20 (SYNTHETIC),EU-SAMPLE,49.76294,3.14689,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK021,Sample Watch Point 21 (SYNTHETIC),US-SAMPLE,38.66196,-100.73246,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK022,Sample Watch Point 22 (SYNTHETIC),US-SAMPLE,42.01097,-103.64538,other,America/New_York,2015-01-01,,synthetic_fixture,False
TREK023,Sample Watch Point 23 (SYNTHETIC),EU-SAMPLE,49.22438,2.34689,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK024,Sample Watch Point 24 (SYNTHETIC),US-SAMPLE,42.92371,-74.98674,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK025,Sample Watch Point 25 (SYNTHETIC),US-SAMPLE,44.90028,-88.52614,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK026,Sample Watch Point 26 (SYNTHETIC),US-SAMPLE,40.87804,-99.48502,capture,America/New_York,2015-01-01,,synthetic_fixture,False
TREK027,Sample Watch Point 27 (SYNTHETIC),US-SAMPLE,33.76564,-94.89017,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK028,Sample Watch Point 28 (SYNTHETIC),US-SAMPLE,45.41354,-84.90174,capture,America/New_York,2015-01-01,,synthetic_fixture,False
TREK029,Sample Watch Point 29 (SYNTHETIC),EU-SAMPLE,46.12188,14.48136,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK030,Sample Watch Point 30 (SYNTHETIC),EU-SAMPLE,50.95521,-0.45649,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK031,Sample Watch Point 31 (SYNTHETIC),US-SAMPLE,40.64075,-75.50731,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK032,Sample Watch Point 32 (SYNTHETIC),EU-SAMPLE,48.30388,11.79252,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK033,Sample Watch Point 33 (SYNTHETIC),EU-SAMPLE,54.48087,4.05048,nocturnal_flight_call,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK034,Sample Watch Point 34 (SYNTHETIC),EU-SAMPLE,51.96328,-0.61744,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK035,Sample Watch Point 35 (SYNTHETIC),EU-SAMPLE,54.78495,9.34918,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK036,Sample Watch Point 36 (SYNTHETIC),EU-SAMPLE,57.72586,14.19718,capture,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK037,Sample Watch Point 37 (SYNTHETIC),US-SAMPLE,32.82294,-114.07937,visible_migration,America/New_York,2015-01-01,,synthetic_fixture,False
TREK038,Sample Watch Point 38 (SYNTHETIC),EU-SAMPLE,54.9338,3.01113,visible_migration,Europe/Amsterdam,2015-01-01,,synthetic_fixture,False
TREK039,Sample Watch Point 39 (SYNTHETIC),US-SAMPLE,33.15631,-119.70273,nocturnal_flight_call,America/New_York,2015-01-01,,synthetic_fixture,False
TREK040,Sample Watch Point 40 (SYNTHETIC),US-SAMPLE,33.40311,-101.52524,nocturnal_flight_call,America/New_York,2015-01-01,,synthetic_fixture,False
