station_id,timestamp_utc,latitude,longitude,temperature_c,dewpoint_c,relative_humidity_pct,wind_speed_knots,wind_direction_deg,wind_gust_knots,visibility_km,precipitation_mm,pressure_hpa,cloud_ceiling_ft,present_weather_code,quality_flag,data_origin,operational_use
WX-SAMPLE01,2024-06-01T00:00:00+00:00,42.3833,-100.25047,9.1,3.7,65.0,11.1,247,2.9,4.4,0.0,1020.3,1500,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T01:00:00+00:00,42.3833,-100.25047,4.2,1.7,34.2,0.5,168,8.4,4.3,0.0,1029.1,500,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T02:00:00+00:00,42.3833,-100.25047,5.8,2.5,48.8,2.1,181,8.9,10.6,0.0,1014.0,1500,RA,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T03:00:00+00:00,42.3833,-100.25047,14.0,7.8,77.1,33.7,190,13.0,6.3,0.0,1009.9,500,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T04:00:00+00:00,42.3833,-100.25047,14.6,7.3,30.1,3.8,336,1.2,7.0,0.0,1011.7,500,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T05:00:00+00:00,42.3833,-100.25047,14.5,8.7,31.6,5.8,184,2.0,9.2,0.0,1008.8,15000,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T06:00:00+00:00,42.3833,-100.25047,13.7,7.2,48.1,17.6,223,2.7,13.6,0.0,1022.0,15000,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T07:00:00+00:00,42.3833,-100.25047,14.2,13.3,33.2,2.3,53,9.5,5.8,0.0,1013.4,5000,RA,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T08:00:00+00:00,42.3833,-100.25047,18.0,12.8,86.0,12.9,162,26.1,13.2,0.0,1015.8,5000,RA,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T09:00:00+00:00,42.3833,-100.25047,19.5,11.6,32.5,4.4,41,1.0,8.9,0.5,1018.9,15000,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T10:00:00+00:00,42.3833,-100.25047,22.5,14.2,88.4,9.0,328,4.3,3.8,0.0,1002.4,25000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T11:00:00+00:00,42.3833,-100.25047,20.0,16.0,74.9,1.5,19,4.7,3.9,0.0,1022.2,15000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T12:00:00+00:00,42.3833,-100.25047,19.0,13.8,34.5,0.1,151,18.7,5.3,2.0,1000.9,25000,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T13:00:00+00:00,42.3833,-100.25047,21.4,13.6,73.4,3.5,42,5.1,5.2,0.0,1014.5,5000,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T14:00:00+00:00,42.3833,-100.25047,16.3,17.5,34.7,0.7,329,14.2,9.6,0.5,1017.7,1500,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T15:00:00+00:00,42.3833,-100.25047,15.9,14.4,67.7,2.5,67,5.5,2.3,0.0,1009.0,5000,RA,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T16:00:00+00:00,42.3833,-100.25047,19.7,12.6,46.7,1.8,214,19.4,14.3,0.0,1021.8,25000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T17:00:00+00:00,42.3833,-100.25047,19.2,9.5,49.7,1.2,214,15.0,3.3,0.0,1015.6,25000,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T18:00:00+00:00,42.3833,-100.25047,15.3,9.8,40.9,1.9,121,9.3,8.5,0.0,1001.2,15000,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T19:00:00+00:00,42.3833,-100.25047,12.4,6.1,76.6,4.3,47,21.0,9.7,0.0,999.9,25000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T20:00:00+00:00,42.3833,-100.25047,10.3,5.2,63.0,4.2,230,1.0,6.2,2.0,1011.2,500,BR,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T21:00:00+00:00,42.3833,-100.25047,9.8,6.1,38.0,0.5,341,3.5,9.8,0.0,1010.9,15000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T22:00:00+00:00,42.3833,-100.25047,10.1,3.5,69.4,1.5,26,5.4,12.3,0.0,1008.7,15000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-01T23:00:00+00:00,42.3833,-100.25047,11.6,2.9,41.4,1.5,29,8.4,7.4,0.0,1011.4,25000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-02T00:00:00+00:00,42.3833,-100.25047,2.9,5.8,35.2,5.1,25,11.9,8.9,0.0,1023.3,25000,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-02T01:00:00+00:00,42.3833,-100.25047,9.4,6.3,89.1,6.0,33,17.9,12.6,0.0,996.5,25000,RA,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-02T02:00:00+00:00,42.3833,-100.25047,10.3,2.0,53.3,7.8,8,18.6,5.3,0.0,1013.8,1500,RA,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-02T03:00:00+00:00,42.3833,-100.25047,15.1,5.3,67.6,0.6,36,3.1,7.4,0.0,1018.0,1500,HZ,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-02T04:00:00+00:00,42.3833,-100.25047,8.5,8.7,88.6,2.9,51,16.2,14.7,0.0,1014.6,25000,,sample,synthetic_fixture,False
WX-SAMPLE01,2024-06-02T05:00:00+00:00,42.3833,-100.25047,12.4,9.1,66.2,11.4,226,4.9,6.4,0.0,1002.1,25000,BR,sample,synthetic_fixture,False
