column,pct_missing
NR_FATALITIES,99.96
BIRD_BAND_NUMBER,99.81
ENG_4_POS,99.53
NR_INJURIES,99.5
ENG_3_POS,97.32
EFFECT_OTHER,96.46
ENROUTE_STATE,95.22
COST_OTHER_INFL_ADJ,94.29
COST_OTHER,94.29
PRECIPITATION,93.45
LOCATION,91.97
COST_REPAIRS,91.21
COST_REPAIRS_INFL_ADJ,91.21
FLT,90.34
AOS,87.73
EFFECT,79.65
OTHER_SPECIFY,77.13
SPEED,48.02
NUM_SEEN,44.49
ENG_2_POS,41.89
DISTANCE,34.22
COMMENTS,27.32
SKY,24.38
TIME,23.02
RUNWAY,22.39
HEIGHT,20.16
EMO,15.04
SIZE,14.79
PERSON,13.67
AMO,11.44
DAMAGE_LEVEL,9.45
LONGITUDE,8.93
LATITUDE,8.93
FAAREGION,8.92
STATE,8.92
EMA,8.87
TIME_OF_DAY,8.65
REMARKS,8.43
REG,7.36
AMA,5.26
PHASE_OF_FLIGHT,3.81
NUM_STRUCK,0.97
AC_MASS,0.53
ENG_1_POS,0.51
TYPE_ENG,0.49
NUM_ENGS,0.49
DAM_OTHER,0.0
OUT_OF_RANGE_SPECIES,0.0
DAM_LGHTS,0.0
STR_LGHTS,0.0
DAM_TAIL,0.0
STR_TAIL,0.0
SPECIES_ID,0.0
SPECIES,0.0
STR_OTHER,0.0
INDEX_NR,0.0
REMAINS_COLLECTED,0.0
REMAINS_SENT,0.0
WARNED,0.0
IMAGE,0.0
STR_LG,0.0
REPORTED_NAME,0.0
REPORTED_TITLE,0.0
SOURCE,0.0
LUPDATE,0.0
TRANSFER,0.0
damage_binary,0.0
damage_target_status,0.0
DAM_LG,0.0
DAM_ENG1,0.0
DAM_FUSE,0.0
AC_CLASS,0.0
DAM_WINDSHLD,0.0
STR_WINDSHLD,0.0
DAM_RAD,0.0
STR_RAD,0.0
INDICATED_DAMAGE,0.0
INGESTED_OTHER,0.0
AIRCRAFT,0.0
DAM_NOSE,0.0
OPERATOR,0.0
OPID,0.0
AIRPORT,0.0
AIRPORT_ID,0.0
INCIDENT_YEAR,0.0
INCIDENT_MONTH,0.0
STR_NOSE,0.0
STR_ENG1,0.0
STR_FUSE,0.0
STR_ENG4,0.0
DAM_WING_ROT,0.0
STR_WING_ROT,0.0
DAM_PROP,0.0
STR_PROP,0.0
ING_ENG4,0.0
DAM_ENG4,0.0
ING_ENG3,0.0
INCIDENT_DATE,0.0
DAM_ENG3,0.0
STR_ENG3,0.0
ING_ENG2,0.0
DAM_ENG2,0.0
STR_ENG2,0.0
ING_ENG1,0.0
damage_level_inconsistent,0.0
