species,n_strikes,mean_predicted_severity,risk_score
White-tailed deer,1042,1.2370758600759795,8.597499651474678
Unknown bird - large,704,0.8885492430484551,5.827281693450883
Turkey vulture,469,0.8770308415314654,5.396136332954502
Geese,175,0.9984896114163285,5.16267455503999
Mule deer,70,1.2081586102880528,5.149993396349084
Canada goose,784,0.7588563058824898,5.058296122257419
New World vultures,195,0.932597626439454,4.922357203273667
Black vulture,126,0.9869379593767765,4.780912117948774
Snow goose,31,1.1644820363442872,4.035787201523732
Unknown bird - medium,2631,0.43934974078200656,3.4600985726646782
"Ducks, geese, swans",32,0.988717616315341,3.4570586216017043
Ducks,222,0.637269370766624,3.4458249524254416
Double-crested cormorant,30,0.9415374882451881,3.23322768717706
Anhinga,24,0.9535882936144656,3.0694823051929228
Bald eagle,144,0.6101183960510225,3.036396808498643
American white pelican,16,1.0654788348336997,3.018728852660307
Wapiti (elk),10,1.2471482633599682,2.990530925189565
Cattle,10,1.2299791631284465,2.949361220906198
American coot,16,1.0227196677992492,2.897583010037573
Gadwall,10,1.1978192794862568,2.8722451879468456
Wood duck,11,1.1215149921014578,2.786860061709849
Pronghorn,8,1.2169193673483933,2.6738451425743333
Hawks,443,0.40395916901579554,2.462464224706197
Deer,12,0.9499584907835067,2.4365954205502867
Common loon,8,1.1076764536815866,2.4338139277658066
Unknown terrestrial mammal,13,0.9222219672174479,2.433796642117408
Mallard,151,0.4817195126656408,2.420101276192474
Lesser scaup,11,0.9608482386655024,2.3876181776969947
Domestic/feral dog,22,0.75290306575374,2.360723207826176
White-headed gull complex,26,0.7094380394835742,2.338192044675799
Northern shoveler,9,1.0081054511939707,2.3212485840852737
Red-tailed hawk,444,0.3680905505400852,2.2446435197569063
Northern pintail,19,0.7455781863313848,2.2335526352507804
Broad-winged hawk,10,0.9294689704327773,2.2287692504135252
Golden eagle,12,0.861687775852487,2.2101855070052974
Brown pelican,22,0.7023795533784362,2.202307027004986
Ruddy duck,7,1.0172085642562467,2.115225745066942
Sandhill crane,63,0.5068988243250696,2.108132945460438
Swine (pigs),9,0.9073453627510509,2.089239906467845
Cackling goose,5,1.1257916013063203,2.0171477620180145
Blue-winged teal,11,0.8010940029465516,1.9906438150271741
Osprey,128,0.40627394634082553,1.9744151639961123
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras",22,0.6115402246355118,1.9174808371526602
Gulls,1629,0.258440208708553,1.9115104370083176
Greater white-fronted goose,13,0.6931719636257612,1.8293205512903663
Great blue heron,66,0.42642874372900763,1.79300179145352
Grackles,12,0.6766892297954058,1.7356736051648682
Ring-necked duck,4,1.0769124157096848,1.733223670214159
American wigeon,6,0.8878492559569876,1.7276748779979108
Yellow-crowned night heron,10,0.7199587172464548,1.7263856046952526
Bufflehead,6,0.8763053865120995,1.7052115452857335
Horse,3,1.1803545646542537,1.6363188771023152
Redhead,4,1.0032771216264886,1.6147122362234287
Dunlin,8,0.7126416279588239,1.5658336997840223
American alligator,4,0.9568255090779654,1.539951249894136
Coyote,203,0.2730822955511154,1.4522844159352624
Glaucous-winged gull,32,0.40761806570379666,1.4252396489236656
Wild turkey,79,0.31687564456476197,1.3885575143622408
Common gray fox,6,0.70241948867926,1.3668452119152157
Canvasback,2,1.2406605054959825,1.3630048774030754
Sora,3,0.9701431899972027,1.3449040337719849
Wilson's snipe,11,0.5302967882765411,1.3177380155495964
Tundra swan,2,1.172433781154549,1.288050159626005
Northern flicker,5,0.7100490453555756,1.272237100632193
Swainson's hawk,19,0.41827848334030415,1.2530503518757645
Common raven,14,0.4572129560441813,1.238155637561981
Eagles,3,0.8643301702088166,1.1982160411062777
American crow,130,0.24223364551443746,1.180936820201242
Eastern screech-owl,2,1.0523485861791333,1.1561230887389071
Yellow warbler,6,0.5882381395215069,1.1446585657563157
Hermit thrush,10,0.4748867018684166,1.1387285775250853
Varied thrush,3,0.8175125967777018,1.1333131030574068
"Lagomorphs (rabbits, hares)",2,1.0250773744952302,1.1261626004561018
Royal tern,3,0.8033711171153647,1.1137088495436174
White-throated sparrow,22,0.35293394568326514,1.1066223452949304
Unknown bird,4320,0.1314158889280997,1.1001142267258588
Crows,56,0.27061522366927704,1.094111223151401
Rock pigeon,528,0.17424873863885357,1.092711824270151
White-throated swift,30,0.31133536786173444,1.069121669540872
Blackbirds,220,0.1978478136929856,1.068014688454308
American robin,108,0.22485147369198724,1.0548564849210063
"Pigeons, doves",11,0.4091917140989072,1.0168032114025247
Red-shouldered hawk,15,0.3600667752045365,0.9983170801853444
Pelicans,3,0.7053960016994982,0.9778864995125311
Western/Clark's grebe complex,2,0.8885382176570225,0.9761590048692645
Loons,2,0.8781861901372121,0.9647861402233704
Unknown bird - small,5596,0.11174145281672021,0.964327175538904
Red-eyed vireo,11,0.38074836295354564,0.9461241389991607
Common grackle,14,0.34928909481467063,0.9458924034556777
Sharp-shinned hawk,4,0.5824442563170453,0.9374078679961375
Herons,14,0.34500582829234744,0.9342931026885261
Caribou,3,0.663443326099633,0.9197277418945459
Wedge-tailed eagle,1,1.3201979229983694,0.9150914681074155
Canids,2,0.802896236272781,0.8820716716946513
Ring-billed gull,211,0.1631999979642567,0.8741948691218377
Great horned owl,25,0.2676106215592178,0.8719012396398644
Long-tailed duck,1,1.2471784196050901,0.8644782052044766
Raccoon,18,0.2902764204405774,0.8547012070781421
Swainson's thrush,28,0.25373539065692835,0.8544021228790638
White-tailed tropicbird,1,1.2303499785408332,0.8528136187275677
Western tanager,4,0.5278916213293148,0.849608789023705
Great black-backed gull,9,0.3647894086733394,0.8399586544933443
Crested caracara,2,0.7546676228938902,0.8290871243711787
New World wood-warblers,4,0.5145819708775127,0.828187732985329
Yellow-bellied sapsucker,4,0.5034827399664964,0.8103242099582789
Snow goose/Ross's goose complex,3,0.5790785886884319,0.8027733821440376
Franklin's gull,20,0.26220909713217344,0.7983014795941025
Wood stork,9,0.3447933456645744,0.7939160178907924
Great egret,19,0.2646145856556695,0.792714454301806
Magnificent frigatebird,1,1.134675506153635,0.786497127940821
Moose,1,1.1229127156833436,0.7783437828908211
American woodcock,9,0.33531595177779294,0.7720935120066563
Eastern red bat,5,0.4307979949859786,0.7718863868405873
Gray-cheeked thrush,5,0.4306289935360206,0.7715835768923117
Perching birds (y),96,0.16659231193560328,0.7621116783460645
Hoary bat,8,0.3432779935108551,0.7542588442007141
Dickcissel,6,0.38468701753550555,0.7485663716321594
Black-bellied whistling-duck,2,0.6687194381323454,0.7346633924034284
Cedar waxwing,42,0.1949025505611584,0.7330674957195994
Egrets,112,0.15484855356235586,0.7320291658559065
Red-breasted merganser,2,0.6507747511993835,0.7149491388225745
Common yellowthroat,14,0.2599853136915885,0.7040532810261274
Laysan albatross,14,0.2584260399733451,0.699830689519865
Green-winged teal,11,0.28075650758825754,0.6976537126773164
Gray partridge,4,0.4315998307267616,0.6946331305717902
Roseate spoonbill,1,1.0001235275320894,0.6932328033205346
Short-eared owl,19,0.22562628688574732,0.6759159493857848
Herring gull,164,0.13214207013389878,0.6747102049120335
Northern mockingbird,11,0.2639934557933921,0.6559990938015146
White-faced ibis,1,0.9445575130667809,0.6547173770589528
California gull,32,0.18663910508691825,0.6525850422017466
Pectoral sandpiper,5,0.3630612872695166,0.6505184993752834
Black-crowned night heron,3,0.4679195665223683,0.6486742565276228
Domestic sheep,1,0.9330138854175887,0.6467159441004814
Long-billed curlew,4,0.39839444959757064,0.6411911312856465
American black duck,6,0.3282046308787582,0.6386567221939283
Brant,1,0.9160919091450458,0.6349865239576661
Grouse,3,0.4576266819290448,0.6344052886562406
Greater sage-grouse,5,0.35174685502726083,0.6302457582662825
Cuckoos,3,0.4533658701940713,0.6284985493742533
Ring-necked pheasant,33,0.1769204177983211,0.6238851773225981
Lesser yellowlegs,5,0.3450540638225258,0.6182538862496322
Northern bobwhite,8,0.2806535692920019,0.6166589201655203
Whooping crane,1,0.8879061930901917,0.6154496743421808
Unknown bird or bat,32,0.1755828031456779,0.6139265988623432
Alder/willow flycatcher complex,4,0.3795982346784143,0.6109397903844969
Snowy owl,19,0.20296580739129674,0.6080312196300508
Hudsonian godwit,1,0.8538391731551455,0.591836215524124
American barn owl,39,0.16034417653056784,0.5914903383904297
European starling,565,0.09314761048093359,0.5904248921932224
"Crows, ravens",4,0.3657121493924009,0.5885909982698935
Barred owl,2,0.5350153458904681,0.5877744336212875
Microbats,47,0.15029156664118343,0.58180886471228
Trumpeter swan,1,0.8382255091394141,0.5810136483334095
Purple martin,31,0.16609743897788837,0.5756498576287544
Rose-breasted grosbeak,6,0.2941496181161851,0.5723887272330292
Short-billed gull,9,0.24580873306099393,0.5659955244739974
Mourning dove,896,0.0826289654834391,0.5617989521460306
Common merganser,1,0.8090044423659735,0.5607591482864452
Great frigatebird,2,0.5098349753563869,0.5601109691193296
Chimney swift,95,0.1221065900607595,0.5573369935101321
Wood thrush,5,0.3108115120001944,0.5568994697714376
Black-billed magpie,6,0.2855738423638023,0.555701038160445
Sedge wren,3,0.3981275682540981,0.5519220028770305
Eurasian wigeon,2,0.4940667482008749,0.5427878009957738
Lapland longspur,14,0.1997931727151636,0.5410499415501474
Band-tailed pigeon,5,0.3011526539522091,0.5395931194020303
Gray catbird,12,0.20865741507834926,0.5351957027347971
Ptarmigans,2,0.48662076160513573,0.5346075486204368
Owls,75,0.12331410776689805,0.534040517833767
Sparrows,523,0.0850050657342177,0.5322585122199677
Doves,230,0.09657683920442349,0.5256115001123699
Northern house wren,2,0.47794880780880433,0.525080433613025
Vesper bats,9,0.22686672235044222,0.5223799329805474
American bittern,3,0.3718461706496483,0.515488249575632
Cranes,3,0.37172480990871476,0.5153200078648145
Killdeer,450,0.08426585209345781,0.5149880029045308
Western bluebird,4,0.3162710970284206,0.509018694164664
Bay-breasted warbler,4,0.315928660170364,0.5084675633026928
Dark-eyed junco,13,0.18930623243141714,0.4995900002399811
Cooper's hawk,22,0.15931793682135373,0.4995404693971203
"Sandpipers, curlews, phalaropes, allies",64,0.11937727727169249,0.49832698655775487
Yellow-rumped warbler,24,0.15466387512000543,0.49784380860421984
Laughing gull,46,0.12877333191528853,0.49579633503786147
Prairie falcon,8,0.2253903249490105,0.49523316147176283
Blue-gray gnatcatcher,2,0.4506738792650654,0.49511586194232887
Redpoll,1,0.7117800814011792,0.4933683566019557
Magnolia warbler,4,0.30332138642878825,0.488176938970566
White stork,1,0.6995294711413579,0.48487688064022183
Northern waterthrush,3,0.34669029387585953,0.4806147994551018
"Falcons, kestrels, falconets",24,0.1484439143171234,0.47782252714419504
Yellow-breasted chat,3,0.34109252228905923,0.4728546402694834
"Terns, noddies",11,0.18637035238103622,0.4631129279549698
Chipping sparrow,4,0.28744628677639705,0.4626269517263382
Lesser black-backed gull,2,0.42070836754784074,0.46219538253355763
Collared peccary,2,0.41953004883134903,0.46090086711165223
Red fox,35,0.12763744029991222,0.4573911845707966
Western pipistrelle,1,0.6568055093679259,0.4552628869946166
Palm warbler,11,0.18159493320943595,0.45124645709993516
Blue-headed vireo,1,0.6495568072444722,0.4502384695550257
White-tailed kite,6,0.23092589822965884,0.4493610490448075
Song sparrow,9,0.19451198502357642,0.44788039712396815
Ovenbird,7,0.20960413686479354,0.43585954950459754
Big free-tailed bat,1,0.6262256386519325,0.43406653582593807
Green-tailed towhee,1,0.6215868445796613,0.4308511687935451
American kestrel,562,0.0659282065497919,0.4175417674615827
Ruby-crowned kinglet,12,0.1623418685267156,0.41639867136670444
Western gull,8,0.1866095735458781,0.4100231413612342
Yellow-billed cuckoo,5,0.22815730511469828,0.4088030119128152
Horned lark,317,0.07029372734286017,0.4050360688367002
Savannah sparrow,38,0.11004228184020519,0.40314668320236463
Swamp sparrow,8,0.17784168368559153,0.3907581182688355
Glossy ibis,1,0.5618577603569915,0.3894501224671741
Northern rough-winged swallow,10,0.16167501223784103,0.3876797475747377
American tree sparrow,3,0.2794386050891818,0.38738416251434066
Black-tailed jackrabbit,21,0.12531783753537576,0.38736275598490677
Tennessee warbler,3,0.2793624303997384,0.38727856197190524
Common swift,1,0.5586352739603716,0.38721646510696417
Zebra dove,27,0.11612338543890968,0.3869468686963484
Cape May warbler,2,0.35097742441028873,0.3855881115022258
White-winged dove,10,0.16047468404159532,0.38480148626715355
Pine siskin,2,0.349525511026834,0.3839930216170807
Lincoln's sparrow,7,0.1845003628569199,0.3836577189796826
White-eyed vireo,1,0.5368949181772911,0.37214719879155184
Common nighthawk,30,0.10805368149309104,0.3710549596447881
Wilson's phalarope,5,0.20545652689749822,0.368128677583301
Willow ptarmigan,3,0.265254532153054,0.36772086218527344
Foxes,10,0.1532793458959832,0.36754781894160443
Swallows,167,0.07134048231024717,0.36554606163096187
Red crossbill,1,0.524476687609454,0.3635395372859122
MacGillivray's warbler,2,0.33063573662428547,0.36324048332827263
Eastern meadowlark,161,0.07083050749403745,0.3603570303493148
Red-throated loon,2,0.32735136369866147,0.3596322308716133
Brewer's blackbird,2,0.32627166678772124,0.35844606257721734
Blackpoll warbler,6,0.18278687074094632,0.35568682688886916
Mallard/American black duck complex,7,0.17094732607498278,0.3554749712794078
Western meadowlark,158,0.06967566398543518,0.3531792659682572
Common goldeneye,2,0.32137530631338385,0.3530668607903615
White-winged crossbill,1,0.5085374529873292,0.352491301747303
Great-tailed grackle,2,0.3206320552400185,0.3522503160275965
Veery,1,0.4985640488612555,0.34557826479673004
Cliff swallow,129,0.07091437790046123,0.34517817746312107
Black-throated blue warbler,2,0.310394385663186,0.3410030864231647
Glaucous gull,9,0.14750505367373032,0.33964293773041804
Barn swallow,513,0.05432177195736801,0.3390886287330326
Western cattle egret,132,0.06838031994915653,0.3344036380508822
Black-footed albatross,4,0.20651611955405572,0.3323748723390705
Brazilian free-tailed bat,13,0.12507703614848967,0.3300854690142243
Swans,2,0.29810259146027,0.32749917026206177
Piping plover,1,0.4712369846717822,0.326636587300816
"Finches, euphonias",18,0.11086268667211313,0.32642841597248573
Belted kingfisher,1,0.4688511507446296,0.3249828532409259
Iceland gull,1,0.4638205493881936,0.32149590609419126
Pheasants,2,0.29113971108975945,0.3198496643224929
Grasshopper sparrow,3,0.22964889263361443,0.3183609648954069
Hummingbirds,1,0.4579273900022681,0.3174110792812466
Nine-banded armadillo,8,0.14439197800678666,0.3172616028467025
Northern cardinal,2,0.2868991616207673,0.31519094456515306
Orchard oriole,2,0.2850347842954075,0.31314271672479865
California ground squirrel,3,0.2250745201280975,0.3120195380853469
Plovers,19,0.10339009129490644,0.30972903325784473
Mississippi kite,2,0.27771305835745913,0.3050989786351085
American redstart,2,0.27671126230017096,0.30399839317583244
Peregrine falcon,52,0.07654047030109193,0.3038880102959016
Hairy woodpecker,1,0.42493238220282814,0.2945406826525114
Black drongo,8,0.1338376730002686,0.2940714244896784
Orange-crowned warbler,2,0.2675431213055782,0.293926160814931
Warbling vireo,2,0.2670611374051428,0.2933966473789725
Western wood-pewee,3,0.2109531556594463,0.29244317015113697
Meadowlarks,34,0.0819293065024146,0.29128720105253175
"Kites, eagles, hawks",4,0.18080575809955313,0.2909956418718097
Burrowing owl,14,0.10731405774096354,0.2906118556465105
Nashville warbler,4,0.18029611911647606,0.2901754095707911
Pigeons,10,0.12090721427199058,0.2899228375500259
Least flycatcher,1,0.4163168554950827,0.28856885460599874
Scissor-tailed flycatcher,16,0.10145179348968086,0.28743457509339937
Yellow-throated warbler,1,0.4125048674550247,0.2859265858437043
Pacific golden-plover,43,0.07550269416503004,0.28571651259220743
Bonaparte's gull,9,0.12387375628835606,0.28522986464274613
Bank swallow,47,0.07357864627038654,0.28483772982315453
Least sandpiper,14,0.10474866357673328,0.2836646394641603
Red-winged blackbird,33,0.07959661069022439,0.2806863458312481
White-tailed jackrabbit,5,0.15402614906765164,0.27597781110069675
Yellow-bellied flycatcher,1,0.3947926711326634,0.27364942690133537
Cave swallow,5,0.15208659141730835,0.27250259031458046
Western kingbird,29,0.07998419470859516,0.2720420336172299
Free-tailed bats,6,0.139161756164458,0.27079627368077963
Snow bunting,35,0.07511605333293069,0.2691797997006363
Eastern phoebe,4,0.1643989312394692,0.2645898727004485
Eared grebe,2,0.24077450857640256,0.26451783392006106
Thrushes,4,0.1623033945594442,0.26121723652072
Purple finch,3,0.1882270205472282,0.2609380571950202
Silver-haired bat,2,0.23647268747467917,0.2597918003940559
Mourning warbler,1,0.37466182261914155,0.2596957860119083
Northern parula,1,0.37466182261914155,0.2596957860119083
Great crested flycatcher,1,0.3718093665817248,0.25771861415190167
