row_type,rank,species,mar,apr,may,jun,jul,aug,sep,oct,nov,total,newly_ringed,retraps,maximum_count,maximum_date,maximum_url,presence_percent,presence_days,first_date,first_url,last_date,last_url
species,1,Northern Bobwhite,0,0,0,0,0,1,0,1,0,2,2,0,1,11 Aug,https://www.trektellen.org/count/view/3460/20250811,1,2,11 Aug,https://www.trektellen.org/count/view/3460/20250811,21 Oct,https://www.trektellen.org/count/view/3460/20251021
species,2,Ruby-throated Hummingbird,0,3,23,0,0,70,144,4,0,244,233,11,14,18 Sep,https://www.trektellen.org/count/view/3460/20250918,42,76,23 Apr,https://www.trektellen.org/count/view/3460/20250423,6 Oct,https://www.trektellen.org/count/view/3460/20251006
species,3,Yellow-billed Cuckoo,0,0,0,0,0,5,5,0,0,10,8,2,1,2 Aug,https://www.trektellen.org/count/view/3460/20250802,5,10,2 Aug,https://www.trektellen.org/count/view/3460/20250802,18 Sep,https://www.trektellen.org/count/view/3460/20250918
species,4,Black-billed Cuckoo,0,0,1,0,0,0,0,0,0,1,1,0,1,11 May,https://www.trektellen.org/count/view/3460/20250511,1,1,11 May,https://www.trektellen.org/count/view/3460/20250511,11 May,https://www.trektellen.org/count/view/3460/20250511
species,5,Mourning Dove,10,10,6,0,0,0,10,6,5,47,37,10,3,29 Mar,https://www.trektellen.org/count/view/3460/20250329,21,38,4 Mar,https://www.trektellen.org/count/view/3460/20250304,18 Nov,https://www.trektellen.org/count/view/3460/20251118
species,6,American Woodcock,1,0,0,0,0,0,2,0,0,3,2,1,1,19 Mar,https://www.trektellen.org/count/view/3460/20250319,2,3,19 Mar,https://www.trektellen.org/count/view/3460/20250319,22 Sep,https://www.trektellen.org/count/view/3460/20250922
species,7,Spotted Sandpiper,0,0,6,0,0,2,0,0,0,8,8,0,1,7 May,https://www.trektellen.org/count/view/3460/20250507,4,8,7 May,https://www.trektellen.org/count/view/3460/20250507,26 Aug,https://www.trektellen.org/count/view/3460/20250826
species,8,Solitary Sandpiper,0,7,10,0,0,11,7,0,0,35,32,3,4,1 May,https://www.trektellen.org/count/view/3460/20250501,13,23,23 Apr,https://www.trektellen.org/count/view/3460/20250423,21 Sep,https://www.trektellen.org/count/view/3460/20250921
species,9,Least Sandpiper,0,0,0,0,0,9,5,0,0,14,13,1,4,5 Sep,https://www.trektellen.org/count/view/3460/20250905,3,6,13 Aug,https://www.trektellen.org/count/view/3460/20250813,8 Sep,https://www.trektellen.org/count/view/3460/20250908
species,10,Green Heron,0,0,0,0,0,2,1,0,0,3,2,1,1,28 Aug,https://www.trektellen.org/count/view/3460/20250828,2,3,28 Aug,https://www.trektellen.org/count/view/3460/20250828,3 Sep,https://www.trektellen.org/count/view/3460/20250903
species,11,Sharp-shinned Hawk,1,0,0,0,0,0,1,6,0,8,8,0,1,27 Mar,https://www.trektellen.org/count/view/3460/20250327,4,8,27 Mar,https://www.trektellen.org/count/view/3460/20250327,29 Oct,https://www.trektellen.org/count/view/3460/20251029
species,12,Northern Saw-whet Owl,0,0,0,0,0,0,0,2,12,14,14,0,4,14 Nov,https://www.trektellen.org/count/view/3460/20251114,4,7,28 Oct,https://www.trektellen.org/count/view/3460/20251028,14 Nov,https://www.trektellen.org/count/view/3460/20251114
species,13,Eastern Screech Owl,0,0,0,0,0,0,0,0,1,1,0,1,1,9 Nov,https://www.trektellen.org/count/view/3460/20251109,1,1,9 Nov,https://www.trektellen.org/count/view/3460/20251109,9 Nov,https://www.trektellen.org/count/view/3460/20251109
species,14,Belted Kingfisher,0,0,0,0,0,10,6,3,2,21,9,12,2,2 Aug,https://www.trektellen.org/count/view/3460/20250802,10,18,2 Aug,https://www.trektellen.org/count/view/3460/20250802,19 Nov,https://www.trektellen.org/count/view/3460/20251119
species,15,Red-bellied Woodpecker,6,3,3,0,0,2,5,6,6,31,18,13,2,28 Mar,https://www.trektellen.org/count/view/3460/20250328,15,27,3 Mar,https://www.trektellen.org/count/view/3460/20250303,24 Nov,https://www.trektellen.org/count/view/3460/20251124
species,16,Yellow-bellied Sapsucker,0,0,0,0,0,0,0,1,4,5,5,0,1,2 Oct,https://www.trektellen.org/count/view/3460/20251002,3,5,2 Oct,https://www.trektellen.org/count/view/3460/20251002,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,17,Downy Woodpecker,11,4,9,0,0,4,6,4,5,43,15,28,3,6 Mar,https://www.trektellen.org/count/view/3460/20250306,16,30,3 Mar,https://www.trektellen.org/count/view/3460/20250303,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,18,Hairy Woodpecker,1,1,1,0,0,3,0,0,2,8,4,4,1,20 Mar,https://www.trektellen.org/count/view/3460/20250320,4,8,20 Mar,https://www.trektellen.org/count/view/3460/20250320,12 Nov,https://www.trektellen.org/count/view/3460/20251112
species,19,Northern Flicker (Yellow-shafted),4,2,0,0,0,0,1,3,9,19,17,2,2,26 Mar,https://www.trektellen.org/count/view/3460/20250326,8,15,8 Mar,https://www.trektellen.org/count/view/3460/20250308,20 Nov,https://www.trektellen.org/count/view/3460/20251120
species,20,Pileated Woodpecker,0,0,1,0,0,0,1,1,0,3,2,1,1,10 May,https://www.trektellen.org/count/view/3460/20250510,2,3,10 May,https://www.trektellen.org/count/view/3460/20250510,17 Oct,https://www.trektellen.org/count/view/3460/20251017
species,21,Eastern Phoebe,3,3,0,0,0,3,7,40,1,57,56,1,7,18 Oct,https://www.trektellen.org/count/view/3460/20251018,18,33,19 Mar,https://www.trektellen.org/count/view/3460/20250319,12 Nov,https://www.trektellen.org/count/view/3460/20251112
species,22,Eastern Wood Pewee,0,0,8,0,0,86,48,2,0,144,107,37,7,29 Aug,https://www.trektellen.org/count/view/3460/20250829,31,57,12 May,https://www.trektellen.org/count/view/3460/20250512,3 Oct,https://www.trektellen.org/count/view/3460/20251003
species,23,Yellow-bellied Flycatcher,0,0,1,0,0,8,8,0,0,17,16,1,3,28 Aug,https://www.trektellen.org/count/view/3460/20250828,7,12,19 May,https://www.trektellen.org/count/view/3460/20250519,10 Sep,https://www.trektellen.org/count/view/3460/20250910
species,24,Acadian Flycatcher,0,0,15,0,0,28,8,0,0,51,45,6,4,15 Aug,https://www.trektellen.org/count/view/3460/20250815,20,36,6 May,https://www.trektellen.org/count/view/3460/20250506,30 Sep,https://www.trektellen.org/count/view/3460/20250930
species,25,Alder/Willow Flycatcher,0,0,20,0,0,93,46,0,0,159,152,7,13,28 Aug,https://www.trektellen.org/count/view/3460/20250828,28,51,15 May,https://www.trektellen.org/count/view/3460/20250515,28 Sep,https://www.trektellen.org/count/view/3460/20250928
species,26,Least Flycatcher,0,0,0,0,0,9,3,0,0,12,11,1,2,19 Aug,https://www.trektellen.org/count/view/3460/20250819,5,9,1 Aug,https://www.trektellen.org/count/view/3460/20250801,9 Sep,https://www.trektellen.org/count/view/3460/20250909
species,27,Eastern Kingbird,0,0,4,0,0,6,1,0,0,11,11,0,2,15 Aug,https://www.trektellen.org/count/view/3460/20250815,5,10,1 May,https://www.trektellen.org/count/view/3460/20250501,5 Sep,https://www.trektellen.org/count/view/3460/20250905
